name,_delete,nameZh,nameJa,aliases,avatar,birth,bloodType,height,weight,threeSize,cup,retired,retiredAt,debut,agency,x,instagram,tiktok,works
彩音舞衣,,,彩音舞衣,,https://www.minnano-av.com/p_actress_125_125/015/479447.jpg?new,1995-12-17,,157,,,,FALSE,,2016,,,,,
愛乃澪,,,愛乃澪,笹本、結愛,,1994-10-14,,163,,86 - 58 - 87,D,TRUE,2017,2016,アタッカーズ,_ainoREI_,,,
愛原さくら,,,愛原さくら,,,1985-11-26,B,158,,82 - 56 - 86,D,FALSE,,2008,,,,,
愛原千咲,,,愛原千咲,,https://www.minnano-av.com/p_actress_125_125/004/854152.jpg?new,1982-12-06,B,155,,78 - 58 - 83,,TRUE,2005,2002,,,,,
愛咲きらら,,,愛咲きらら,,,2001-03-21,,155,,84 - 57 - 88,E-82,FALSE,,2022,SOD,aisakikirara,aisakikirara0321,aisakikirara,
愛奏,,愛奏,愛奏,薫、桜子,,1982-11-22,B,157,,101 - 63 - 89,I,TRUE,2004,2002,BooTLeG,,,,
愛音ゆり,,,愛音ゆり,,https://www.minnano-av.com/p_actress_125_125/010/33888.jpg?new,1989-02-18,A,157,48kg,83 - 56 - 84,,FALSE,,2008,,,,,
愛音ミク,,,愛音ミク,,,1986-03-09,O,157,45kg,86 - 57 - 84,E,TRUE,,2010-09-07,,,,,
成宮いろは,,成宮彩葉,成宮いろは,,,1987-06-08,O,155,,86 - 62 - 92,E,FALSE,,2015,タカラ映像,narimiya0608,iroha_narimiya,,
戸田真琴,,戶田真琴,戸田真琴,,https://commons.wikimedia.org/wiki/Special:FilePath/MAKOTO_TODA_CIMG3004.jpg?width=200,1996-10-09,A,152,,,C,TRUE,,2016,,toda_makoto,toda_makoto,,
新ありな,,新有菜,新ありな,新有菜、橋本ありな,https://commons.wikimedia.org/wiki/Special:FilePath/Kindai_Mahjong_Swimsuit_Festival_(September_21%2C_2024)IMG_1275.jpg?width=200,1996-12-15,A,167,44kg,84 - 58 - 84,C-65,TRUE,2025,2016-10-03,,,,,
新井優香,,新井優香,新井優香,,,1994-10-15,,167,,86 - 58 - 87,F,TRUE,2020,2018,プレミアム,,,,
新垣とわ,,,新垣とわ,とわ、朝宮,,1993-07-26,B,164,,78 - 57 - 83,,TRUE,2014,2013,マキシング,imai_hatsune,,,
新垣セナ,,,新垣セナ,,,1989-11-21,,156,,83 - 58 - 88,B-65,FALSE,,2009-11-11,,,,,
明日花キララ,,明日花綺羅,明日花キララ,,https://commons.wikimedia.org/wiki/Special:FilePath/%EC%95%84%EC%8A%A4%EC%B9%B4_%ED%82%A4%EB%9D%BC%EB%9D%BC(Kirara_Asuka)_%ED%8C%AC%EB%AF%B8%ED%8C%85_(9).jpg?width=200,1988-10-02,A,162,44kg,90 - 58 - 85,G,TRUE,2018,2007-12-21,キラティス,asukakiraran,asukakiraran,asuka.kirara,
明里つむぎ,,明里紬,明里つむぎ,,https://commons.wikimedia.org/wiki/Special:FilePath/Gravure_idol_photographed_on_May_10%2C_2026IMG_2264.jpg?width=200,1998-03-31,O,157,,80 - 58 - 83,B,FALSE,,2017,FALENO,akari_tsumugi__,akari.tsumugi,,
星宮一花,,星宮一花,星宮一花,,,1998-06-28,O,168,,85 - 59 - 89,D,FALSE,,2018,アタッカーズ,hosimiyaichika,,,
星空もあ,,,星空もあ,中野伊織、石橋さら,,1994-07-24,B,158,,88 - 58 - 86,F,FALSE,,2014-12-05,h.m.p,Hoshizora_moa,hoshizora_moa,,
星野ナミ,,星野娜美,星野ナミ,,,1992-07-03,A,152,,90 - 59 - 90,G,TRUE,2020-09-07,2012,,hoshino_nami73,hoshino_nami73,,
春日部このは,,,春日部このは,,,1992-11-09,O,155,,88 - 58 - 87,E,FALSE,,2016,,,,,
